state,year,housing_cost_weighted,annual_market_rent,owner_costs,homeownership_rate,rental_rate
Idaho,2010,12089.82,8196,13790.574298710293,69.6,30.4
Idaho,2011,12016.31,8268,13724.057312277973,68.7,31.3
Idaho,2012,12303.6,8424,14095.931174396028,68.4,31.6
Idaho,2013,13178.9,8700,15153.743498229744,69.4,30.6
Idaho,2014,13134.82,9060,15052.381376981537,68.0,32.0
Idaho,2015,12992.77,9240,14678.790986493106,69.0,31.0
Idaho,2016,13226.78,9480,14949.746057639464,68.5,31.5
Idaho,2017,13741.79,9864,15427.549321487511,69.7,30.3
Idaho,2018,14844.76,10176,16779.617514635378,70.7,29.3
Idaho,2019,14964.94,10560,16712.14900947185,71.6,28.4
Idaho,2021,17588.06,12420,19607.848990622027,71.9,28.1
Idaho,2022,19668.73,13656,21972.366159229314,72.3,27.7
Idaho,2023,20705.43,15072,22842.245714285717,72.5,27.5
Illinois,2008,16393.8,9732,19344.99353950374,69.3,30.7
Illinois,2009,16471.0,9936,19546.297739607515,68.0,32.0
Illinois,2010,16549.41,10176,19590.19532203929,67.7,32.3
Illinois,2011,16611.0,10308,19673.532438478498,67.3,32.7
Illinois,2012,16517.46,10416,19577.34806005558,66.6,33.4
Illinois,2013,16914.27,10620,20171.24254903062,65.9,34.1
Illinois,2014,17272.42,10860,20649.957677968883,65.5,34.5
Illinois,2015,17697.37,11232,21133.03223191353,65.3,34.7
Illinois,2016,17810.02,11400,21216.259995785374,65.3,34.7
Illinois,2017,18175.05,11688,21487.167103544904,66.2,33.8
Illinois,2018,18535.48,11940,21933.14574675267,66.0,34.0
Illinois,2019,18791.9,12240,22167.11473287135,66.0,34.0
Illinois,2021,19702.46,13272,22798.60728040333,67.5,32.5
Illinois,2022,20621.06,14040,23847.845767354167,67.1,32.9
Illinois,2023,21592.5,14856,24850.805,67.4,32.6
Indiana,2008,12249.64,8040,13903.002146172334,71.8,28.2
Indiana,2009,12078.0,8244,13690.01576860646,70.4,29.6
Indiana,2010,12247.06,8196,13958.530556033558,70.3,29.7
Indiana,2011,12416.98,8484,14126.725286034984,69.7,30.3
Indiana,2012,12301.31,8580,13942.11756420663,69.4,30.6
Indiana,2013,12642.4,8760,14427.73346287334,68.5,31.5
Indiana,2014,12859.83,9036,14610.093677033374,68.6,31.4
Indiana,2015,12873.08,9096,14634.243363380958,68.2,31.8
Indiana,2016,12991.39,9216,14743.652246283802,68.3,31.7
Indiana,2017,13456.6,9516,15227.017025666293,69.0,31.0
Indiana,2018,13885.83,9840,15712.036031802132,68.9,31.1
Indiana,2019,14079.01,10080,15850.581804203623,69.3,30.7
Indiana,2021,14859.6,10860,16485.315547622697,71.1,28.9
Indiana,2022,15747.87,11664,17432.18169489229,70.8,29.2
Indiana,2023,16903.39,12528,18743.045714285716,70.4,29.6
Iowa,2008,10775.96,7284,12074.073470958663,72.9,27.1
Iowa,2009,11377.34,7332,12942.740386543752,72.1,27.9
Iowa,2010,11313.23,7548,12748.599676679401,72.4,27.6
Iowa,2011,11667.98,7716,13174.534451439182,72.4,27.6
Iowa,2012,11795.29,7932,13305.14382057728,71.9,28.1
Iowa,2013,12092.51,8148,13719.345452235446,70.8,29.2
Iowa,2014,12466.35,8532,14081.156360619034,70.9,29.1
Iowa,2015,12351.92,8616,13900.180341956437,70.7,29.3
Iowa,2016,12820.13,8892,14455.916518413485,70.6,29.4
Iowa,2017,13606.93,9120,15386.657273615121,71.6,28.4
Iowa,2018,13698.54,9324,15459.401978616008,71.3,28.7
Iowa,2019,13674.77,9696,15339.647960938366,70.5,29.5
Iowa,2021,13831.51,10164,15264.848747723134,71.9,28.1
Iowa,2022,15031.25,10692,16718.7419688599,72.0,28.0
Iowa,2023,15716.33,11388,17416.310714285715,71.8,28.2
Kansas,2008,11721.15,7848,13428.913034279229,69.4,30.6
Kansas,2009,11847.44,8052,13649.990601767764,67.8,32.2
Kansas,2010,11925.08,8184,13677.508811704434,68.1,31.9
Kansas,2011,12442.51,8508,14311.113510479681,67.8,32.2
Kansas,2012,12229.89,8532,14101.114288071838,66.4,33.6
Kansas,2013,12391.6,8940,14161.781851030806,66.1,33.9
Kansas,2014,12595.77,9276,14260.646778296756,66.6,33.4
Kansas,2015,13003.38,9384,14834.875932345074,66.4,33.6
Kansas,2016,13003.88,9468,14849.849752889262,65.7,34.3
Kansas,2017,13355.65,9780,15205.866039697457,65.9,34.1
Kansas,2018,13595.14,10080,15389.883186063875,66.2,33.8
Kansas,2019,13928.02,10344,15733.509959189672,66.5,33.5
Kansas,2021,14312.28,10848,16018.569823705066,67.0,33.0
Kansas,2022,15407.35,11700,17176.149624814934,67.7,32.3
Kansas,2023,16039.96,12432,17841.229285714286,66.7,33.3
Kentucky,2008,10238.69,6936,11688.064987909018,69.5,30.5
Kentucky,2009,10324.48,7356,11683.234549313207,68.6,31.4
Kentucky,2010,10568.87,7356,12039.482808903853,68.6,31.4
Kentucky,2011,10415.66,7512,11726.304708084612,68.9,31.1
Kentucky,2012,10757.51,7632,12296.935701888904,67.0,33.0
Kentucky,2013,10992.18,8016,12431.704107513013,67.4,32.6
Kentucky,2014,11111.14,8136,12636.962842882645,66.1,33.9
Kentucky,2015,11484.19,8424,13039.674226867133,66.3,33.7
Kentucky,2016,11444.34,8484,12915.648914869704,66.8,33.2
Kentucky,2017,11661.26,8688,13159.068085931585,66.5,33.5
Kentucky,2018,12243.88,9348,13644.563565000099,67.4,32.6
Kentucky,2019,12485.25,9276,14065.92244863507,67.0,33.0
Kentucky,2021,13092.64,9960,14519.881265931372,68.7,31.3
Kentucky,2022,13772.68,10692,15169.737914234443,68.8,31.2
Kentucky,2023,14808.46,11148,16468.432142857146,68.8,31.2
Louisiana,2008,10768.84,8376,11869.199055283589,68.5,31.5
Louisiana,2009,11305.11,8580,12593.41098471802,67.9,32.1
Louisiana,2010,11325.6,8832,12520.762592281968,67.6,32.4
Louisiana,2011,11520.25,8964,12813.774073266126,66.4,33.6
Louisiana,2012,11840.38,8964,13342.058746536086,65.7,34.3
Louisiana,2013,11947.92,9156,13386.188154822827,66.0,34.0
Louisiana,2014,12360.21,9612,13879.408729726085,64.4,35.6
Louisiana,2015,12345.83,9600,13850.508342227868,64.6,35.4
Louisiana,2016,12859.86,9696,14616.459883063111,64.3,35.7
Louisiana,2017,12959.0,10032,14521.259930753664,65.2,34.8
Louisiana,2018,13019.95,10248,14479.977216846464,65.5,34.5
Louisiana,2019,13740.44,10392,15427.244983991846,66.5,33.5
Louisiana,2021,13744.95,11088,15035.920411074116,67.3,32.7
Louisiana,2022,14756.7,11808,16169.989266843275,67.6,32.4
Louisiana,2023,15308.41,12240,16745.745000000003,68.1,31.9
Maine,2008,13693.45,8424,15732.52556220733,72.1,27.9
Maine,2009,13988.1,8664,15987.38372786046,72.7,27.3
Maine,2010,14289.26,8484,16469.231167053986,72.7,27.3
Maine,2011,13810.84,8964,15790.52818390041,71.0,29.0
Maine,2012,14472.61,8928,16693.560436292733,71.4,28.6
Maine,2013,15100.77,9120,17639.61755442133,70.2,29.8
Maine,2014,12188.93,9312,13346.962110101646,71.3,28.7
Maine,2015,13606.27,9504,15281.848370636731,71.0,29.0
Maine,2016,15249.12,9564,17470.986241668346,71.9,28.1
Maine,2017,14927.42,9672,16851.537802377592,73.2,26.8
Maine,2018,16107.57,10068,18550.538464390378,71.2,28.8
Maine,2019,14160.68,10440,15593.300479297197,72.2,27.8
Maine,2021,17155.1,11340,19114.191238159437,74.8,25.2
Maine,2022,18911.65,12396,21189.046916660973,74.1,25.9
Maine,2023,19324.27,14268,21064.060714285715,74.4,25.6
Maryland,2008,21092.08,12888,24692.425606331726,69.5,30.5
Maryland,2009,21413.19,13296,25128.637260943353,68.6,31.4
Maryland,2010,20981.97,13572,24631.661650058264,67.0,33.0
Maryland,2011,21610.37,13836,25387.819795983327,67.3,32.7
Maryland,2012,21587.36,14040,25389.417985954893,66.5,33.5
Maryland,2013,22645.49,14520,26738.785075310054,66.5,33.5
Maryland,2014,22977.85,14904,27155.66895988089,65.9,34.1
Maryland,2015,22668.41,15336,26462.572917320394,65.9,34.1
Maryland,2016,22767.98,15768,26390.122208259192,65.9,34.1
Maryland,2017,23343.92,16044,26988.40816108992,66.7,33.3
Maryland,2018,24146.71,16452,27953.810295767296,66.9,33.1
Maryland,2019,24820.8,16812,28801.22456148897,66.8,33.2
Maryland,2021,25494.22,17676,29207.29396395293,67.8,32.2
Maryland,2022,27039.49,18600,31066.01295604219,67.7,32.3
Maryland,2023,28095.2,19812,32011.11928571429,67.9,32.1
Massachusetts,2008,19560.3,11892,23780.833874890777,64.5,35.5
Massachusetts,2009,20137.11,11856,24754.924553022156,64.2,35.8
Massachusetts,2010,19673.23,12108,24270.749799656583,62.2,37.8
Massachusetts,2011,19867.17,12408,24419.539070066014,62.1,37.9
Massachusetts,2012,20288.81,12432,25063.520350103106,62.2,37.8
Massachusetts,2013,20620.86,12924,25439.21355833812,61.5,38.5
Massachusetts,2014,21285.2,13284,26272.961504829615,61.6,38.4
Massachusetts,2015,21806.39,13968,26672.04335207972,61.7,38.3
Massachusetts,2016,22453.33,14148,27543.696806900836,62.0,38.0
Massachusetts,2017,23164.78,14496,28410.57084001143,62.3,37.7
Massachusetts,2018,23504.02,15540,28426.766949280183,61.8,38.2
Massachusetts,2019,24524.32,16320,29510.221238002156,62.2,37.8
Massachusetts,2021,25885.47,17844,30567.844609281587,63.2,36.8
Massachusetts,2022,27564.51,19608,32399.814094542475,62.2,37.8
Massachusetts,2023,29709.65,21084,34929.35,62.3,37.7
Michigan,2008,14335.35,8472,16395.441666205857,74.0,26.0
Michigan,2009,13866.55,8592,15797.66900082471,73.2,26.8
Michigan,2010,14068.58,8760,16052.001570847784,72.8,27.2
Michigan,2011,13685.56,8868,15587.056994515033,71.7,28.3
Michigan,2012,13769.64,8976,15718.112989421412,71.1,28.9
Michigan,2013,13929.26,9216,15891.998620812421,70.6,29.4
Michigan,2014,14370.84,9456,16457.199284996663,70.2,29.8
Michigan,2015,14223.79,9636,16152.744950072916,70.4,29.6
Michigan,2016,14869.96,9816,17005.132234238557,70.3,29.7
Michigan,2017,15124.41,10020,17179.055995294937,71.3,28.7
Michigan,2018,15495.38,10332,17583.942554616904,71.2,28.8
Michigan,2019,16227.06,10656,18436.805558393156,71.6,28.4
Michigan,2021,16963.33,11628,18916.706078366067,73.2,26.8
Michigan,2022,18204.96,12624,20248.268129084958,73.2,26.8
Michigan,2023,18944.32,13212,20989.91285714286,73.7,26.3
Minnesota,2008,16048.09,8808,18500.21834264803,74.7,25.3
Minnesota,2009,15702.22,9084,18063.950770627696,73.7,26.3
Minnesota,2010,15092.02,9168,17283.093478763254,73.0,27.0
Minnesota,2011,15207.35,9444,17360.69337964492,72.8,27.2
Minnesota,2012,15714.07,9756,18100.62933557054,71.4,28.6
Minnesota,2013,16065.7,9984,18477.995761580278,71.6,28.4
Minnesota,2014,16167.81,10308,18480.679352570533,71.7,28.3
Minnesota,2015,17183.64,10656,19862.831059397453,70.9,29.1
Minnesota,2016,17287.74,10944,19841.250117342188,71.3,28.7
Minnesota,2017,17844.45,11268,20452.980446550624,71.6,28.4
Minnesota,2018,18364.94,11628,21050.29898192227,71.5,28.5
Minnesota,2019,19337.13,12192,22129.593269348807,71.9,28.1
Minnesota,2021,19555.49,13356,21848.45275362826,73.0,27.0
Minnesota,2022,21834.84,14400,24711.839767666494,72.1,27.9
Minnesota,2023,21611.08,15168,24116.718571428573,72.0,28.0
Mississippi,2008,9481.17,7656,10259.669411651197,70.1,29.9
Mississippi,2009,9307.33,7728,10000.41708208227,69.5,30.5
Mississippi,2010,9579.64,8064,10235.401590521751,69.8,30.2
Mississippi,2011,9769.88,8268,10419.686846321836,69.8,30.2
Mississippi,2012,9797.26,7992,10639.008155192972,68.2,31.8
Mississippi,2013,9947.37,8496,10655.782325598771,67.2,32.8
Mississippi,2014,10131.87,8532,10895.177339046535,67.7,32.3
Mississippi,2015,10242.56,8688,10994.473826499328,67.4,32.6
Mississippi,2016,10579.58,8736,11475.350721740795,67.3,32.7
Mississippi,2017,10916.15,8904,11841.440643829463,68.5,31.5
Mississippi,2018,10783.72,9324,11464.347053118825,68.2,31.8
Mississippi,2019,10820.89,9324,11548.198585995162,67.3,32.7
Mississippi,2021,11634.98,9972,12357.914329252126,69.7,30.3
Mississippi,2022,12615.07,10476,13536.185562262177,69.9,30.1
Mississippi,2023,13018.3,10776,13929.733571428573,71.1,28.9
Missouri,2008,11699.22,7884,13326.536633164797,70.1,29.9
Missouri,2009,11557.78,8016,13141.589613024933,69.1,30.9
Missouri,2010,11844.46,8184,13489.014425088926,69.0,31.0
Missouri,2011,11971.27,8496,13606.690669328429,68.0,32.0
Missouri,2012,11982.36,8472,13672.5397863449,67.5,32.5
Missouri,2013,12440.81,8808,14230.108843744916,67.0,33.0
Missouri,2014,12475.51,9048,14171.326917834995,66.9,33.1
Missouri,2015,12669.29,9156,14471.117105732717,66.1,33.9
Missouri,2016,12823.28,9252,14654.850730885812,66.1,33.9
Missouri,2017,12953.44,9600,14605.132197728008,67.0,33.0
Missouri,2018,13276.06,9960,14924.166667116075,66.8,33.2
Missouri,2019,13769.62,10008,15613.987129835858,67.1,32.9
Missouri,2021,14460.95,10584,16219.099455118381,68.8,31.2
Missouri,2022,15252.48,11448,17075.92285025872,67.6,32.4
Missouri,2023,16581.47,12228,18555.720714285722,68.8,31.2
Montana,2008,11016.11,7572,12599.901003089863,68.5,31.5
Montana,2009,10845.3,7524,12323.569456236277,69.2,30.8
Montana,2010,11145.33,7704,12641.350879547505,69.7,30.3
Montana,2011,11705.87,7800,13552.389974393387,67.9,32.1
Montana,2012,11746.81,8172,13499.583789004746,67.1,32.9
Montana,2013,11898.57,8280,13688.924156144658,66.9,33.1
Montana,2014,13711.67,8532,16332.702943993578,66.4,33.6
Montana,2015,12805.91,9156,14628.123472202044,66.7,33.3
Montana,2016,13050.63,8892,15007.629567278269,68.0,32.0
Montana,2017,13042.15,9108,14793.190202484386,69.2,30.8
Montana,2018,14447.1,9732,16717.331312418708,67.5,32.5
Montana,2019,15531.33,9972,18040.69168615051,68.9,31.1
Montana,2021,16399.7,10596,18946.644708636584,69.5,30.5
Montana,2022,16437.93,12060,18423.26819355614,68.8,31.2
Montana,2023,18090.82,12996,20358.45642857143,69.2,30.8
Nebraska,2008,11396.86,7512,13117.863237970556,69.3,30.7
Nebraska,2009,11313.12,7728,13062.999088663746,67.2,32.8
Nebraska,2010,11768.09,8028,13577.094301548052,67.4,32.6
Nebraska,2011,12096.29,8076,14085.406499304314,66.9,33.1
Nebraska,2012,12206.82,8304,14190.602962011451,66.3,33.7
Nebraska,2013,12134.1,8568,13971.182502374471,66.0,34.0
Nebraska,2014,12425.57,8904,14247.80705719476,65.9,34.1
Nebraska,2015,13011.08,9000,15086.61729558027,65.9,34.1
Nebraska,2016,13113.0,9228,15177.459808326414,65.3,34.7
Nebraska,2017,13248.95,9612,15097.593784947212,66.3,33.7
Nebraska,2018,13752.08,9960,15696.883988337728,66.1,33.9
Nebraska,2019,14074.61,10308,15989.16807473632,66.3,33.7
Nebraska,2021,15529.58,10944,17707.388870763894,67.8,32.2
Nebraska,2022,16038.53,11796,18224.070888864688,66.0,34.0
Nebraska,2023,17306.98,12504,19748.320714285717,66.3,33.7
Nevada,2008,18036.11,12132,22021.63198699434,59.7,40.3
Nevada,2009,16940.9,11916,20389.693499923775,59.3,40.7
Nevada,2010,16189.33,11424,19755.00378373804,57.2,42.8
Nevada,2011,16086.92,11232,19855.311741195008,56.3,43.7
Nevada,2012,15875.46,11328,19611.167502250835,54.9,45.1
Nevada,2013,15823.81,11424,19526.784280084867,54.3,45.7
Nevada,2014,15586.86,11460,19159.373846307146,53.6,46.4
Nevada,2015,16082.56,11760,19764.74501047652,54.0,46.0
Nevada,2016,16418.63,12036,20018.932024273065,54.9,45.1
Nevada,2017,17445.42,12612,21151.61133013763,56.6,43.4
Nevada,2018,18398.4,13296,22279.100021566188,56.8,43.2
Nevada,2019,19460.73,14016,23635.67249257206,56.6,43.4
