state,year,median_income,col,mli,annual_surplus,surplus_pct
Arkansas,2008,38815,59124.12,0.657,-20309.120000000003,-34.3
Arkansas,2009,37823,58038.93,0.652,-20215.93,-34.8
Arkansas,2010,38307,59588.6,0.643,-21281.6,-35.7
Arkansas,2011,38758,60043.68,0.645,-21285.68,-35.5
Arkansas,2012,40112,59757.7,0.671,-19645.699999999997,-32.9
Arkansas,2013,40511,59821.92,0.677,-19310.92,-32.3
Arkansas,2014,41262,59766.59,0.69,-18504.589999999997,-31.0
Arkansas,2015,41995,59305.93,0.708,-17310.93,-29.2
Arkansas,2016,44334,59524.96,0.745,-15190.96,-25.5
Arkansas,2017,45869,58788.88,0.78,-12919.879999999997,-22.0
Arkansas,2018,47062,58016.95,0.811,-10954.949999999997,-18.9
Arkansas,2019,48952,58442.15,0.838,-9490.150000000001,-16.2
Arkansas,2021,52528,59260.26,0.886,-6732.260000000002,-11.4
Arkansas,2022,55432,57499.67,0.964,-2067.6699999999983,-3.6
Arkansas,2023,58700,57363.54,1.023,1336.4599999999991,2.3
California,2008,61021,87177.96,0.7,-26156.960000000006,-30.0
California,2009,58931,86295.58,0.683,-27364.58,-31.7
California,2010,57708,85276.83,0.677,-27568.83,-32.3
California,2011,57287,85191.85,0.672,-27904.850000000006,-32.8
California,2012,58328,85164.16,0.685,-26836.160000000003,-31.5
California,2013,60190,85062.81,0.708,-24872.809999999998,-29.2
California,2014,61933,85618.48,0.723,-23685.479999999996,-27.7
California,2015,64500,86112.37,0.749,-21612.369999999995,-25.1
California,2016,67739,86125.48,0.787,-18386.479999999996,-21.3
California,2017,71805,87001.86,0.825,-15196.86,-17.5
California,2018,75277,87826.43,0.857,-12549.429999999993,-14.3
California,2019,80440,87772.98,0.916,-7332.979999999996,-8.4
California,2021,84907,88249.71,0.962,-3342.7100000000064,-3.8
California,2022,91551,87536.25,1.046,4014.75,4.6
California,2023,95521,86984.47,1.098,8536.529999999999,9.8
Colorado,2008,56993,75021.31,0.76,-18028.309999999998,-24.0
Colorado,2009,55430,74202.68,0.747,-18772.679999999993,-25.3
Colorado,2010,54046,73167.99,0.739,-19121.990000000005,-26.1
Colorado,2011,55387,75398.78,0.735,-20011.78,-26.5
Colorado,2012,56765,74817.5,0.759,-18052.5,-24.1
Colorado,2013,58823,75223.68,0.782,-16400.679999999993,-21.8
Colorado,2014,61303,75461.04,0.812,-14158.039999999994,-18.8
Colorado,2015,63909,76066.23,0.84,-12157.229999999996,-16.0
Colorado,2016,65685,76335.66,0.86,-10650.660000000003,-14.0
Colorado,2017,69117,76965.85,0.898,-7848.850000000006,-10.2
Colorado,2018,71953,75641.76,0.951,-3688.7599999999948,-4.9
Colorado,2019,77127,77370.53,0.997,-243.52999999999884,-0.3
Colorado,2021,82254,77221.56,1.065,5032.440000000002,6.5
Colorado,2022,89302,76953.1,1.16,12348.899999999994,16.0
Colorado,2023,92911,76479.71,1.215,16431.289999999994,21.5
Connecticut,2008,68595,81166.11,0.845,-12571.11,-15.5
Connecticut,2009,67034,82131.53,0.816,-15097.529999999999,-18.4
Connecticut,2010,64032,78609.38,0.815,-14577.380000000005,-18.5
Connecticut,2011,65753,79285.68,0.829,-13532.679999999993,-17.1
Connecticut,2012,67276,79541.44,0.846,-12265.440000000002,-15.4
Connecticut,2013,67098,79177.43,0.847,-12079.429999999993,-15.3
Connecticut,2014,70048,78506.13,0.892,-8458.130000000005,-10.8
Connecticut,2015,71346,79641.88,0.896,-8295.880000000005,-10.4
Connecticut,2016,73433,78624.95,0.934,-5191.949999999997,-6.6
Connecticut,2017,74168,77481.41,0.957,-3313.4100000000035,-4.3
Connecticut,2018,76348,76119.02,1.003,228.97999999999593,0.3
Connecticut,2019,78833,74926.92,1.052,3906.0800000000017,5.2
Connecticut,2021,83771,74849.89,1.119,8921.11,11.9
Connecticut,2022,88429,76312.35,1.159,12116.649999999994,15.9
Connecticut,2023,91665,74377.3,1.232,17287.699999999997,23.2
Delaware,2008,57989,70010.49,0.828,-12021.490000000005,-17.2
Delaware,2009,56860,72164.91,0.788,-15304.910000000003,-21.2
Delaware,2010,55847,71015.41,0.786,-15168.410000000003,-21.4
Delaware,2011,58814,70437.96,0.835,-11623.960000000006,-16.5
Delaware,2012,58415,69748.99,0.838,-11333.990000000005,-16.2
Delaware,2013,57846,69300.02,0.835,-11454.020000000004,-16.5
Delaware,2014,59716,70554.87,0.846,-10838.869999999995,-15.4
Delaware,2015,61255,68456.59,0.895,-7201.5899999999965,-10.5
Delaware,2016,61757,68730.11,0.899,-6973.110000000001,-10.1
Delaware,2017,62852,68581.9,0.916,-5729.899999999994,-8.4
Delaware,2018,64805,69733.77,0.929,-4928.770000000004,-7.1
Delaware,2019,70176,68864.91,1.019,1311.0899999999965,1.9
Delaware,2021,71091,68425.81,1.039,2665.1900000000023,3.9
Delaware,2022,82174,68996.27,1.191,13177.729999999996,19.1
Delaware,2023,81361,69778.75,1.166,11582.25,16.6
Florida,2008,47778,73576.99,0.649,-25798.990000000005,-35.1
Florida,2009,44736,72144.83,0.62,-27408.83,-38.0
Florida,2010,44409,71799.47,0.619,-27390.47,-38.1
Florida,2011,44299,71976.87,0.615,-27677.869999999995,-38.5
Florida,2012,45040,72266.91,0.623,-27226.910000000003,-37.7
Florida,2013,46036,71950.2,0.64,-25914.199999999997,-36.0
Florida,2014,47463,72104.44,0.658,-24641.440000000002,-34.2
Florida,2015,49426,72403.08,0.683,-22977.08,-31.7
Florida,2016,50860,72368.89,0.703,-21508.89,-29.7
Florida,2017,52594,72599.33,0.724,-20005.33,-27.6
Florida,2018,55462,72307.68,0.767,-16845.679999999993,-23.3
Florida,2019,59227,72043.15,0.822,-12816.149999999994,-17.8
Florida,2021,63062,73240.59,0.861,-10178.589999999997,-13.9
Florida,2022,69303,74096.66,0.935,-4793.6600000000035,-6.5
Florida,2023,73311,75811.47,0.967,-2500.470000000001,-3.3
Georgia,2008,50861,64849.81,0.784,-13988.809999999998,-21.6
Georgia,2009,47590,63956.2,0.744,-16366.199999999997,-25.6
Georgia,2010,46430,64915.48,0.715,-18485.480000000003,-28.5
Georgia,2011,46007,64342.07,0.715,-18335.07,-28.5
Georgia,2012,47209,65085.88,0.725,-17876.879999999997,-27.5
Georgia,2013,47829,64752.28,0.739,-16923.28,-26.1
Georgia,2014,49321,64728.44,0.762,-15407.440000000002,-23.8
Georgia,2015,51244,64700.98,0.792,-13456.980000000003,-20.8
Georgia,2016,53559,64971.75,0.824,-11412.75,-17.6
Georgia,2017,56183,65193.81,0.862,-9010.809999999998,-13.8
Georgia,2018,58756,65106.32,0.902,-6350.32,-9.8
Georgia,2019,61980,64790.24,0.957,-2810.239999999998,-4.3
Georgia,2021,66559,65997.09,1.009,561.9100000000035,0.9
Georgia,2022,72837,66366.11,1.098,6470.889999999999,9.8
Georgia,2023,74632,67032.14,1.113,7599.860000000001,11.3
Hawaii,2008,67214,83022.87,0.81,-15808.869999999995,-19.0
Hawaii,2009,64098,84158.71,0.762,-20060.710000000006,-23.8
Hawaii,2010,63030,82571.18,0.763,-19541.179999999993,-23.7
Hawaii,2011,61821,82569.54,0.749,-20748.539999999994,-25.1
Hawaii,2012,66259,80701.94,0.821,-14442.940000000002,-17.9
Hawaii,2013,68020,85493.18,0.796,-17473.179999999993,-20.4
Hawaii,2014,69592,83617.08,0.832,-14025.080000000002,-16.8
Hawaii,2015,73486,85745.14,0.857,-12259.14,-14.3
Hawaii,2016,74511,82589.22,0.902,-8078.220000000001,-9.8
Hawaii,2017,77765,84925.94,0.916,-7160.940000000002,-8.4
Hawaii,2018,80212,84297.11,0.952,-4085.1100000000006,-4.8
Hawaii,2019,83102,84297.84,0.986,-1195.8399999999965,-1.4
Hawaii,2021,84857,83356.4,1.018,1500.6000000000058,1.8
Hawaii,2022,92458,81552.55,1.134,10905.449999999997,13.4
Hawaii,2023,95322,79374.18,1.201,15947.820000000007,20.1
Idaho,2008,47576,66012.51,0.721,-18436.509999999995,-27.9
Idaho,2009,44926,65703.72,0.684,-20777.72,-31.6
Idaho,2010,43490,64204.66,0.677,-20714.660000000003,-32.3
Idaho,2011,43341,64548.91,0.671,-21207.910000000003,-32.9
Idaho,2012,45489,64071.44,0.71,-18582.440000000002,-29.0
Idaho,2013,46783,64519.95,0.725,-17736.949999999997,-27.5
Idaho,2014,47861,64293.78,0.744,-16432.78,-25.6
Idaho,2015,48275,64358.3,0.75,-16083.300000000003,-25.0
Idaho,2016,51807,63594.33,0.815,-11787.330000000002,-18.5
Idaho,2017,52225,64565.85,0.809,-12340.849999999999,-19.1
Idaho,2018,55583,63323.1,0.878,-7740.0999999999985,-12.2
Idaho,2019,60999,63745.39,0.957,-2746.3899999999994,-4.3
Idaho,2021,66474,64308.02,1.034,2165.980000000003,3.4
Idaho,2022,72785,64936.67,1.121,7848.330000000002,12.1
Idaho,2023,74942,64464.16,1.163,10477.839999999997,16.3
Illinois,2008,56235,71133.57,0.791,-14898.570000000007,-20.9
Illinois,2009,53966,72121.16,0.748,-18155.160000000003,-25.2
Illinois,2010,52972,72444.71,0.731,-19472.710000000006,-26.9
Illinois,2011,53234,72473.24,0.735,-19239.240000000005,-26.5
Illinois,2012,55137,71573.89,0.77,-16436.89,-23.0
Illinois,2013,56210,71354.15,0.788,-15144.149999999994,-21.2
Illinois,2014,57444,71075.08,0.808,-13631.080000000002,-19.2
Illinois,2015,59588,70617.47,0.844,-11029.470000000001,-15.6
Illinois,2016,60960,70449.71,0.865,-9489.710000000006,-13.5
Illinois,2017,62992,70682.16,0.891,-7690.1600000000035,-10.9
Illinois,2018,65030,70734.32,0.919,-5704.320000000007,-8.1
Illinois,2019,69187,70404.6,0.983,-1217.6000000000058,-1.7
Illinois,2021,72205,70908.85,1.018,1296.1499999999942,1.8
Illinois,2022,76708,70389.61,1.09,6318.389999999999,9.0
Illinois,2023,80306,69000.09,1.164,11305.910000000003,16.4
Indiana,2008,47966,62741.53,0.765,-14775.529999999999,-23.5
Indiana,2009,45424,63003.53,0.721,-17579.53,-27.9
Indiana,2010,44613,63672.32,0.701,-19059.32,-29.9
Indiana,2011,46438,63283.98,0.734,-16845.980000000003,-26.6
Indiana,2012,46974,63244.52,0.743,-16270.519999999997,-25.7
Indiana,2013,47529,63434.51,0.749,-15905.510000000002,-25.1
Indiana,2014,49446,63343.36,0.781,-13897.36,-21.9
Indiana,2015,50532,62513.76,0.808,-11981.760000000002,-19.2
Indiana,2016,52314,62249.47,0.84,-9935.470000000001,-16.0
Indiana,2017,54181,61836.07,0.876,-7655.07,-12.4
Indiana,2018,55746,62876.73,0.887,-7130.730000000003,-11.3
Indiana,2019,57603,62662.57,0.919,-5059.57,-8.1
Indiana,2021,62743,62319.24,1.007,423.76000000000204,0.7
Indiana,2022,66785,61772.85,1.081,5012.1500000000015,8.1
Indiana,2023,69477,62070.17,1.119,7406.830000000002,11.9
Iowa,2008,48980,58697.01,0.834,-9717.010000000002,-16.6
Iowa,2009,48044,60657.52,0.792,-12613.519999999997,-20.8
Iowa,2010,47961,61568.03,0.779,-13607.029999999999,-22.1
Iowa,2011,49427,61165.24,0.808,-11738.239999999998,-19.2
Iowa,2012,50957,61664.04,0.826,-10707.04,-17.4
Iowa,2013,52229,61750.79,0.846,-9521.79,-15.4
Iowa,2014,53712,62009.49,0.866,-8297.489999999998,-13.4
Iowa,2015,54736,61037.25,0.897,-6301.25,-10.3
Iowa,2016,56247,61077.51,0.921,-4830.510000000002,-7.9
Iowa,2017,58570,61034.75,0.96,-2464.75,-4.0
Iowa,2018,59955,61934.45,0.968,-1979.449999999997,-3.2
Iowa,2019,61691,61839.98,0.998,-148.9800000000032,-0.2
Iowa,2021,65600,60107.15,1.091,5492.8499999999985,9.1
Iowa,2022,69588,59440.85,1.171,10147.150000000001,17.1
Iowa,2023,71433,59834.57,1.194,11598.43,19.4
Kansas,2008,50177,60826.48,0.825,-10649.480000000003,-17.5
Kansas,2009,47817,62321.87,0.767,-14504.870000000003,-23.3
Kansas,2010,48257,63078.06,0.765,-14821.059999999998,-23.5
Kansas,2011,48964,63435.65,0.772,-14471.650000000001,-22.8
Kansas,2012,50241,63459.56,0.792,-13218.559999999998,-20.8
Kansas,2013,50972,62966.73,0.81,-11994.730000000003,-19.0
Kansas,2014,52504,63151.04,0.831,-10647.04,-16.9
Kansas,2015,53906,63155.07,0.854,-9249.07,-14.6
Kansas,2016,54935,62481.58,0.879,-7546.580000000002,-12.1
Kansas,2017,56422,62064.27,0.909,-5642.269999999997,-9.1
Kansas,2018,58218,62133.28,0.937,-3915.279999999999,-6.3
Kansas,2019,62087,62531.05,0.993,-444.0500000000029,-0.7
Kansas,2021,64124,61137.63,1.049,2986.3700000000026,4.9
Kansas,2022,68925,60383.19,1.141,8541.809999999998,14.1
Kansas,2023,70333,60582.58,1.161,9750.419999999998,16.1
Kentucky,2008,41538,60637.35,0.685,-19099.35,-31.5
Kentucky,2009,40072,59852.18,0.67,-19780.18,-33.0
Kentucky,2010,40062,61175.15,0.655,-21113.15,-34.5
Kentucky,2011,41141,60713.2,0.678,-19572.199999999997,-32.2
Kentucky,2012,41724,60859.06,0.686,-19135.059999999998,-31.4
Kentucky,2013,43399,61069.61,0.711,-17670.61,-28.9
Kentucky,2014,42958,60929.31,0.705,-17971.309999999998,-29.5
Kentucky,2015,45215,60770.18,0.744,-15555.18,-25.6
Kentucky,2016,46659,60567.85,0.77,-13908.849999999999,-23.0
Kentucky,2017,48375,60076.65,0.805,-11701.650000000001,-19.5
Kentucky,2018,50247,59767.64,0.841,-9520.64,-15.9
Kentucky,2019,52295,60161.49,0.869,-7866.489999999998,-13.1
Kentucky,2021,55573,59656.18,0.932,-4083.1800000000003,-6.8
Kentucky,2022,59341,59506.54,0.997,-165.54000000000087,-0.3
Kentucky,2023,61118,60182.71,1.016,935.2900000000009,1.6
Louisiana,2008,43733,61502.66,0.711,-17769.660000000003,-28.9
Louisiana,2009,42492,61517.3,0.691,-19025.300000000003,-30.9
Louisiana,2010,42505,62579.91,0.679,-20074.910000000003,-32.1
Louisiana,2011,41734,62876.45,0.664,-21142.449999999997,-33.6
Louisiana,2012,42944,63151.32,0.68,-20207.32,-32.0
Louisiana,2013,44164,62992.59,0.701,-18828.589999999997,-29.9
Louisiana,2014,44555,63279.39,0.704,-18724.39,-29.6
Louisiana,2015,45727,62720.02,0.729,-16993.019999999997,-27.1
Louisiana,2016,45146,63348.65,0.713,-18202.65,-28.7
Louisiana,2017,46145,62464.45,0.739,-16319.449999999997,-26.1
Louisiana,2018,47905,61285.62,0.782,-13380.620000000003,-21.8
Louisiana,2019,51073,61818.91,0.826,-10745.910000000003,-17.4
Louisiana,2021,52087,61222.18,0.851,-9135.18,-14.9
Louisiana,2022,55416,60635.75,0.914,-5219.75,-8.6
Louisiana,2023,58229,59352.48,0.981,-1123.4800000000032,-1.9
Maine,2008,46581,67191.68,0.693,-20610.679999999993,-30.7
Maine,2009,45734,67646.86,0.676,-21912.86,-32.4
Maine,2010,45815,67255.43,0.681,-21440.429999999993,-31.9
Maine,2011,46033,66169.62,0.696,-20136.619999999995,-30.4
Maine,2012,46709,66938.95,0.698,-20229.949999999997,-30.2
Maine,2013,46974,67904.47,0.692,-20930.47,-30.8
Maine,2014,49462,62428.53,0.792,-12966.529999999999,-20.8
Maine,2015,51494,64952.19,0.793,-13458.190000000002,-20.7
Maine,2016,53079,66544.74,0.798,-13465.740000000005,-20.2
Maine,2017,56277,66097.88,0.851,-9820.880000000005,-14.9
Maine,2018,55602,66831.09,0.832,-11229.089999999997,-16.8
Maine,2019,58924,63922.2,0.922,-4998.199999999997,-7.8
Maine,2021,64767,66080.6,0.98,-1313.6000000000058,-2.0
Maine,2022,69543,68076.92,1.022,1466.0800000000017,2.2
Maine,2023,73733,65659.93,1.123,8073.070000000007,12.3
Maryland,2008,70545,80149.78,0.88,-9604.779999999999,-12.0
Maryland,2009,69272,81439.36,0.851,-12167.36,-14.9
Maryland,2010,68854,80182.56,0.859,-11328.559999999998,-14.1
Maryland,2011,70004,81068.34,0.864,-11064.339999999997,-13.6
Maryland,2012,71122,79882.17,0.89,-8760.169999999998,-11.0
Maryland,2013,72483,81093.95,0.894,-8610.949999999997,-10.6
Maryland,2014,73971,80515.61,0.919,-6544.610000000001,-8.1
Maryland,2015,75847,79502.98,0.954,-3655.979999999996,-4.6
Maryland,2016,78945,78697.24,1.003,247.75999999999476,0.3
Maryland,2017,80776,78306.08,1.032,2469.9199999999983,3.2
Maryland,2018,83242,78381.49,1.062,4860.509999999995,6.2
Maryland,2019,86738,77698.62,1.116,9039.380000000005,11.6
Maryland,2021,90203,77568.37,1.163,12634.630000000005,16.3
Maryland,2022,94991,76867.13,1.236,18123.869999999995,23.6
Maryland,2023,98678,75860.87,1.301,22817.130000000005,30.1
Massachusetts,2008,65401,77443.59,0.844,-12042.589999999997,-15.6
Massachusetts,2009,64081,77796.35,0.824,-13715.350000000006,-17.6
Massachusetts,2010,62072,77694.26,0.799,-15622.259999999995,-20.1
Massachusetts,2011,62859,77792.01,0.808,-14933.009999999995,-19.2
Massachusetts,2012,65339,77784.4,0.84,-12445.399999999994,-16.0
Massachusetts,2013,66768,77336.59,0.863,-10568.589999999997,-13.7
Massachusetts,2014,69160,78402.2,0.882,-9242.199999999997,-11.8
Massachusetts,2015,70628,78276.81,0.902,-7648.809999999998,-9.8
Massachusetts,2016,75297,79658.51,0.945,-4361.509999999995,-5.5
Massachusetts,2017,77385,79292.17,0.976,-1907.1699999999983,-2.4
Massachusetts,2018,79835,78648.74,1.015,1186.2599999999948,1.5
Massachusetts,2019,85843,79070.17,1.086,6772.830000000002,8.6
Massachusetts,2021,89645,78899.9,1.136,10745.100000000006,13.6
Massachusetts,2022,94488,79963.54,1.182,14524.460000000006,18.2
Massachusetts,2023,99858,79169.09,1.261,20688.910000000003,26.1
Michigan,2008,48591,66321.77,0.733,-17730.770000000004,-26.7
Michigan,2009,45255,66135.01,0.684,-20880.009999999995,-31.6
Michigan,2010,45413,66489.81,0.683,-21076.809999999998,-31.7
Michigan,2011,45981,65596.47,0.701,-19615.47,-29.9
Michigan,2012,46859,65380.52,0.717,-18521.519999999997,-28.3
Michigan,2013,48273,65405.21,0.738,-17132.21,-26.2
Michigan,2014,49847,65687.54,0.759,-15840.539999999994,-24.1
Michigan,2015,51084,64423.99,0.793,-13339.989999999998,-20.7
Michigan,2016,52492,64659.06,0.812,-12167.059999999998,-18.8
Michigan,2017,54909,63971.89,0.858,-9062.89,-14.2
Michigan,2018,56697,64747.28,0.876,-8050.279999999999,-12.4
Michigan,2019,59584,65132.16,0.915,-5548.1600000000035,-8.5
Michigan,2021,63498,64291.91,0.988,-793.9100000000035,-1.2
Michigan,2022,66986,63912.71,1.048,3073.290000000001,4.8
Michigan,2023,69183,64056.21,1.08,5126.790000000001,8.0
Minnesota,2008,57288,68514.53,0.836,-11226.529999999999,-16.4
Minnesota,2009,55616,69392.47,0.801,-13776.470000000001,-19.9
Minnesota,2010,55459,68287.17,0.812,-12828.169999999998,-18.8
Minnesota,2011,56954,68196.74,0.835,-11242.740000000005,-16.5
Minnesota,2012,58906,68626.61,0.858,-9720.61,-14.2
Minnesota,2013,60702,68564.71,0.885,-7862.710000000006,-11.5
Minnesota,2014,61481,68888.88,0.892,-7407.880000000005,-10.8
Minnesota,2015,63488,69280.3,0.916,-5792.300000000003,-8.4
Minnesota,2016,65599,68502.67,0.958,-2903.6699999999983,-4.2
Minnesota,2017,68388,68513.43,0.998,-125.42999999999302,-0.2
Minnesota,2018,70315,69674.96,1.009,640.0399999999936,0.9
Minnesota,2019,74593,69678.55,1.071,4914.449999999997,7.1
Minnesota,2021,77720,68720.65,1.131,8999.350000000006,13.1
Minnesota,2022,82338,69088.65,1.192,13249.350000000006,19.2
Minnesota,2023,85086,68579.32,1.241,16506.679999999993,24.1
Mississippi,2008,37790,59181.71,0.639,-21391.71,-36.1
Mississippi,2009,36646,57750.04,0.635,-21104.04,-36.5
Mississippi,2010,36851,59449.8,0.62,-22598.800000000003,-38.0
Mississippi,2011,36919,59654.99,0.619,-22735.989999999998,-38.1
Mississippi,2012,37095,59200.23,0.627,-22105.230000000003,-37.3
Mississippi,2013,37963,59477.51,0.638,-21514.510000000002,-36.2
Mississippi,2014,39680,59293.28,0.669,-19613.28,-33.1
Mississippi,2015,40593,58830.99,0.69,-18237.989999999998,-31.0
Mississippi,2016,41754,59119.86,0.706,-17365.86,-29.4
Mississippi,2017,43529,58667.64,0.742,-15138.64,-25.8
Mississippi,2018,44717,57694.78,0.775,-12977.779999999999,-22.5
Mississippi,2019,45792,57913.27,0.791,-12121.269999999997,-20.9
Mississippi,2021,48716,57630.89,0.845,-8914.89,-15.5
Mississippi,2022,52719,58259.45,0.905,-5540.449999999997,-9.5
Mississippi,2023,54203,58213.77,0.931,-4010.769999999997,-6.9
Missouri,2008,46867,60216.17,0.778,-13349.169999999998,-22.2
Missouri,2009,45229,61266.42,0.738,-16037.419999999998,-26.2
Missouri,2010,44301,63194.93,0.701,-18893.93,-29.9
Missouri,2011,45247,62756.2,0.721,-17509.199999999997,-27.9
Missouri,2012,45321,62603.36,0.724,-17282.36,-27.6
Missouri,2013,46931,63133.83,0.743,-16202.830000000002,-25.7
Missouri,2014,48363,63272.24,0.764,-14909.239999999998,-23.6
Missouri,2015,50238,62668.65,0.802,-12430.650000000001,-19.8
Missouri,2016,51746,62168.95,0.832,-10422.949999999997,-16.8
Missouri,2017,53578,61806.88,0.867,-8228.879999999997,-13.3
Missouri,2018,54478,61780.91,0.882,-7302.9100000000035,-11.8
Missouri,2019,57409,62437.82,0.919,-5028.82,-8.1
Missouri,2021,61847,62062.11,0.997,-215.11000000000058,-0.3
Missouri,2022,64811,61386.76,1.056,3424.239999999998,5.6
Missouri,2023,68545,61952.72,1.106,6592.279999999999,10.6
Montana,2008,43654,63365.51,0.689,-19711.510000000002,-31.1
Montana,2009,42322,62780.31,0.674,-20458.309999999998,-32.6
Montana,2010,42666,62771.47,0.68,-20105.47,-32.0
Montana,2011,44222,63970.7,0.691,-19748.699999999997,-30.9
Montana,2012,45076,63101.31,0.714,-18025.309999999998,-28.6
Montana,2013,46972,62785.89,0.748,-15813.89,-25.2
Montana,2014,46328,65324.7,0.709,-18996.699999999997,-29.1
Montana,2015,49509,64539.91,0.767,-15030.910000000003,-23.3
Montana,2016,50027,63907.89,0.783,-13880.89,-21.7
Montana,2017,53386,63843.38,0.836,-10457.379999999997,-16.4
Montana,2018,55328,63304.43,0.874,-7976.43,-12.6
Montana,2019,57153,64836.11,0.881,-7683.110000000001,-11.9
Montana,2021,63249,63296.76,0.999,-47.76000000000204,-0.1
Montana,2022,67631,62023.36,1.09,5607.639999999999,9.0
Montana,2023,70804,62257.73,1.137,8546.269999999997,13.7
Nebraska,2008,49693,60675.44,0.819,-10982.440000000002,-18.1
Nebraska,2009,47357,61322.96,0.772,-13965.96,-22.8
Nebraska,2010,48408,62682.25,0.772,-14274.25,-22.8
Nebraska,2011,50296,62606.81,0.803,-12310.809999999998,-19.7
Nebraska,2012,50723,62961.43,0.806,-12238.43,-19.4
Nebraska,2013,51440,62377.68,0.825,-10937.68,-17.5
Nebraska,2014,52686,62540.91,0.842,-9854.910000000003,-15.8
Nebraska,2015,54996,62603.95,0.878,-7607.949999999997,-12.2
Nebraska,2016,56927,62164.32,0.916,-5237.32,-8.4
Nebraska,2017,59970,61253.58,0.979,-1283.5800000000017,-2.1
Nebraska,2018,59566,62152.54,0.958,-2586.540000000001,-4.2
Nebraska,2019,63229,62679.82,1.009,549.1800000000003,0.9
Nebraska,2021,66817,62555.62,1.068,4261.379999999997,6.8
Nebraska,2022,69597,61162.04,1.138,8434.96,13.8
Nebraska,2023,74590,61758.0,1.208,12832.0,20.8
Nevada,2008,56361,73979.76,0.762,-17618.759999999995,-23.8
Nevada,2009,53341,73746.1,0.723,-20405.100000000006,-27.7
Nevada,2010,51001,71853.54,0.71,-20852.539999999994,-29.0
Nevada,2011,48927,72492.21,0.675,-23565.210000000006,-32.5
Nevada,2012,49760,71807.27,0.693,-22047.270000000004,-30.7
Nevada,2013,51230,70525.15,0.726,-19295.149999999994,-27.4
Nevada,2014,51450,69400.7,0.741,-17950.699999999997,-25.9
Nevada,2015,52431,69270.88,0.757,-16839.880000000005,-24.3
Nevada,2016,55180,68525.05,0.805,-13345.050000000003,-19.5
Nevada,2017,58003,70542.91,0.822,-12539.910000000003,-17.8
Nevada,2018,58646,69096.31,0.849,-10450.309999999998,-15.1
Nevada,2019,63276,70982.3,0.891,-7706.300000000003,-10.9
Nevada,2021,66274,69840.75,0.949,-3566.75,-5.1
Nevada,2022,72333,70895.67,1.02,1437.3300000000017,2.0
